token	DF	postings
1	2	826, 1633
10	2	0, 2
101	1	1
10th	1	1420
11	2	566, 1058
12	1	3
13	2	4, 143
13th	2	624, 1421
17	1	1355
1900	1	5
1914	1	1840
1915	1	1610
1920	1	1658
1922	1	1190
1925	1	1703
1926	1	1561
1927	1	368
1928	1	1807
1929	1	1089
1930	2	990, 1461
1931	3	507, 612, 1406
1932	1	1244
1933	2	519, 833
1934	1	160
1935	2	331, 1605
1936	1	292
1937	2	903, 1322
1939	2	1354, 1810
1940	3	1118, 1659, 1741
1941	2	1539, 1811
1942	3	342, 1770, 1848
1944	2	711, 866
1945	1	470
1946	1	1051
1947	1	1128
1948	3	679, 1066, 1725
1949	1	1233
1950	3	294, 376, 575
1951	2	84, 1148
1952	2	888, 996
1953	1	1107
1954	1	653
1955	1	1366
1956	3	122, 721, 1774
1957	2	1521, 1973
1958	2	511, 1551
1959	2	811, 1674
1960	1	1058
1961	1	1696
1962	2	328, 1655
1963	3	359, 1587, 1723
1964	3	45, 567, 588
1965	1	439
1966	4	184, 668, 773, 836
1967	1	1613
1968	2	1205, 1717
1969	3	500, 1863, 1882
1970	2	76, 1032
1971	2	1278, 1373
1972	1	1710
1973	3	1191, 1314, 1803
1974	3	1328, 1559, 1768
1978	4	400, 704, 924, 1640
1979	4	687, 1363, 1601, 1841
1980	4	152, 624, 649, 1137
1981	2	150, 631
1982	2	1781, 1786
1983	1	1245
1984	3	6, 599, 1615
1985	5	85, 348, 445, 1396, 1972
1986	4	393, 939, 1325, 1669
1987	2	938, 1926
1988	5	81, 372, 1427, 1453, 1794
1989	7	102, 185, 650, 712, 1187, 1616, 1634
1990	4	82, 474, 642, 1179
1991	4	196, 576, 760, 1077
1992	4	78, 1061, 1249, 1476
1993	4	91, 577, 1356, 1546
1994	3	894, 1045, 1342
1995	9	168, 622, 702, 840, 908, 1122, 1178, 1255, 1720
1996	8	1, 295, 793, 948, 1402, 1432, 1598, 1890
1997	9	123, 583, 598, 713, 1079, 1530, 1722, 1846, 1919
1998	6	145, 485, 1323, 1445, 1889, 1953
1999	5	155, 651, 740, 1675, 1833
2	22	12, 112, 153, 418, 477, 506, 670, 799, 827, 877, 921, 1132, 1218, 1254, 1301, 1346, 1614, 1738, 1779, 1871, 1932, 1995
20	2	7, 1547
2000	10	256, 296, 367, 377, 455, 657, 912, 1279, 1700, 1873
2001	12	205, 427, 504, 698, 701, 1043, 1083, 1398, 1542, 1593, 1690, 1838
2002	6	317, 369, 382, 639, 1478, 1507
2003	9	366, 539, 731, 983, 1094, 1108, 1599, 1729, 1902
2004	12	147, 385, 443, 586, 730, 803, 933, 1412, 1555, 1564, 1704, 1796
2005	3	834, 1609, 1928
2006	2	338, 456
21	2	8, 183
25th	1	10
2nd	1	200
3	4	374, 729, 1248, 1347
30	1	4
3000	1	997
4	1	878
4th	1	201
50	1	154
51st	1	1422
54	1	15
55	1	16
571	1	1897
60	1	657
61	1	17
66	1	302
6th	1	1423
7	1	1192
77	1	77
7th	1	1424
8	2	18, 158
80	1	147
8th	1	1429
